ID,Bathrooms,Bedrooms,Erf Size,Garages,ID,Listing Date,Price,Type of Property,Location
0,4.0,4.0,,2.0,1003,2019-10-28,4299000.0,House,"lat: 51.5073509,long: -0.1277583"
1,2.0,3.0,1 733 m²,2.0,1011,2019-06-05,2800000.0,House,"lat: 51.5073509,long: -0.1277583"
2,2.0,3.0,987 m²,1.0,1016,2019-10-31,980000.0,House,"lat: 51.5073509,long: -0.1277583"
3,2.0,3.0,1 539 m²,2.0,1019,2019-10-14,1795000.0,House,"lat: 51.5073509,long: -0.1277583"
4,2.0,3.0,70 m²,,1029,2019-10-02,837780.0,House,"lat: 51.5073509,long: -0.1277583"
5,3.0,4.0,,4.0,1033,2019-10-08,3995000.0,House,"lat: 51.5073509,long: -0.1277583"
6,2.0,3.0,99 m²,1.0,1038,2019-09-19,1075000.0,House,"lat: 51.5073509,long: -0.1277583"
7,1.0,3.0,165 m²,2.0,1045,2019-09-19,950000.0,House,"lat: 51.5073509,long: -0.1277583"
8,2.0,4.0,1 500 m²,2.0,1046,2019-09-13,2350000.0,House,"lat: 51.5073509,long: -0.1277583"
9,2.0,3.0,991 m²,2.0,1051,2019-10-10,2200000.0,House,"lat: 51.5073509,long: -0.1277583"
10,4.0,6.0,800 m²,,1052,2019-10-04,950000.0,House,"lat: 51.5073509,long: -0.1277583"
11,2.0,3.0,55 m²,,1054,2019-09-25,861010.0,House,"lat: 51.5073509,long: -0.1277583"
12,2.0,3.0,880 m²,2.0,1060,2019-10-19,1100000.0,House,"lat: 51.5073509,long: -0.1277583"
13,1.0,2.0,70 m²,,1065,2019-10-01,700000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
14,2.0,2.0,81 m²,,1068,2019-10-04,890000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
15,2.0,3.0,,,1069,2019-10-18,1175000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
16,,3.0,298 m²,2.0,1071,2019-09-02,3695000.0,House,"lat: 51.5073509,long: -0.1277583"
17,2.0,3.0,323 m²,2.0,1074,2019-10-19,1650000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
18,4.0,5.0,1 200 m²,3.0,1091,2019-10-28,8850000.0,House,"lat: 51.5073509,long: -0.1277583"
19,3.0,3.0,112 m²,1.0,1092,2019-09-12,1229943.0,House,"lat: 51.5073509,long: -0.1277583"
20,1.0,3.0,55 m²,,1096,2019-09-12,804000.0,House,"lat: 51.5073509,long: -0.1277583"
21,2.0,2.0,120 m²,1.0,1104,2019-09-13,1399999.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
22,1.0,3.0,800 m²,,1109,2019-10-22,950000.0,House,"lat: 51.5073509,long: -0.1277583"
23,2.0,3.0,331 m²,2.0,1111,2019-09-23,1450000.0,House,"lat: 51.5073509,long: -0.1277583"
24,7.0,7.0,656 m²,5.0,1113,2019-09-11,5600000.0,House,"lat: 51.5073509,long: -0.1277583"
25,,3.0,585 m²,4.0,1118,2019-10-22,3790000.0,House,"lat: 51.5073509,long: -0.1277583"
26,,5.0,616 m²,2.0,1119,2019-09-17,6500000.0,House,"lat: 51.5073509,long: -0.1277583"
27,,2.0,80 m²,,1123,2019-09-12,860000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
28,2.0,3.0,330 m²,2.0,1126,2019-10-04,1595000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
29,3.0,4.0,,2.0,1129,2019-10-07,1495000.0,House,"lat: 51.5073509,long: -0.1277583"
30,,5.0,919 m²,5.0,1130,2019-09-03,7999999.0,House,"lat: 51.5073509,long: -0.1277583"
31,2.0,3.0,,2.0,1135,2019-10-03,1350000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
32,2.0,4.0,470 m²,4.0,1145,2019-09-17,2590000.0,House,"lat: 51.5073509,long: -0.1277583"
33,1.0,2.0,50 m²,,1146,2019-09-23,560000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
34,2.0,2.0,81 m²,,1147,2019-09-21,1190000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
